Date,Total cases,Hawai’i,Oahu,Kaua’i,Maui,Pending,Residents diagnosed outside of Hawai‘i,Required Hospitalization,Hawaii deaths,Lanai,Molokai
2020-06-30,917,87,652,38,123,1,16,113,18,0,0
2020-07-01,926,87,659,38,125,0,17,116,18,0,0
2020-07-02,946,90,676,38,125,0,17,116,18,0,0
2020-07-03,975,91,701,38,127,0,18,118,19,0,0
2020-07-04,999,93,720,40,128,0,18,118,19,0,0
2020-07-06,1030,94,750,40,128,0,18,119,19,0,0
2020-07-07,1071,95,788,42,128,0,18,119,19,0,0
2020-07-08,1094,96,808,42,130,0,18,122,19,0,0
2020-07-09,1130,97,842,43,130,0,18,123,19,0,0
2020-07-10,1158,98,867,43,131,0,19,125,19,0,0
2020-07-11,1200,100,905,43,133,0,19,125,19,0,0
2020-07-12,1220,101,923,43,134,0,19,125,19,0,0
2020-07-13,1243,102,942,43,135,0,21,128,22,0,0
2020-07-14,1264,105,960,43,135,0,21,133,22,0,0
2020-07-15,1292,107,986,43,135,0,21,137,22,0,0
2020-07-16,1311,107,1002,43,135,3,21,138,22,0,0
2020-07-17,1334,109,1025,43,135,0,22,139,23,0,0
2020-07-18,1354,111,1040,43,135,3,22,140,24,0,0
2020-07-19,1381,113,1065,43,135,3,22,150,24,0,0
2020-07-20,1393,114,1079,43,135,0,22,150,24,0,0
2020-07-21,1418,114,1100,43,139,0,22,151,24,0,0
2020-07-22,1435,114,1117,43,139,0,22,154,25,0,0
2020-07-23,1490,117,1167,43,141,0,22,155,26,0,0
2020-07-24,1549,117,1225,43,141,0,23,156,26,0,0
2020-07-25,1620,117,1291,43,146,0,23,161,26,0,0
2020-07-26,1683,117,1345,45,153,0,23,163,26,0,0
2020-07-27,1711,117,1373,45,153,0,23,165,26,0,0
2020-07-28,1757,116,1419,45,154,0,23,167,26,0,0
2020-07-29,1865,116,1516,47,163,0,23,173,26,0,0
2020-07-30,1989,115,1637,47,167,0,23,177,26,0,0
2020-07-31,2111,115,1755,47,171,0,23,179,26,0,0
2020-08-01,2197,115,1842,47,170,0,23,194,26,0,0
2020-08-02,2242,115,1886,47,171,0,23,199,26,0,0
2020-08-03,2448,117,2083,47,178,0,23,201,26,0,0
2020-08-04,2591,122,2221,47,178,0,23,208,27,0,0
2020-08-05,2763,122,2394,47,177,0,23,214,27,0,0
2020-08-06,2815,122,2445,47,178,0,23,223,29,0,0
2020-08-07,3115,123,2741,47,181,0,23,231,31,0,0
2020-08-08,3346,128,2964,47,184,0,23,237,31,0,0
2020-08-09,3498,131,3111,48,185,0,23,239,31,0,0
2020-08-10,3638,131,3249,49,186,0,23,242,34,0,0
2020-08-11,3756,133,3361,49,190,0,23,251,34,0,0
2020-08-12,3958,135,3558,51,191,0,23,260,38,0,0
2020-08-13,4312,139,3900,52,198,0,23,267,40,0,0
2020-08-14,4543,144,4117,53,206,0,23,277,40,0,0
2020-08-15,4825,145,4390,54,213,0,23,279,40,0,0
2020-08-16,5042,148,4591,54,226,0,23,283,40,0,0
2020-08-17,5215,149,4754,54,235,0,23,288,40,0,0
2020-08-18,5349,152,4878,54,242,0,23,300,41,0,0
2020-08-19,5609,159,5111,54,262,0,23,303,42,0,0
2020-08-20,5844,164,5340,54,263,0,23,317,45,0,0
2020-08-21,6072,177,5547,56,269,0,23,337,46,0,0
2020-08-22,6356,192,5806,56,279,0,23,377,47,0,0
2020-08-23,6600,200,6031,56,290,0,23,396,47,0,0
2020-08-24,6769,209,6181,56,300,0,23,399,49,0,0
2020-08-25,6984,220,6382,56,303,0,23,419,49,0,0
2020-08-26,7260,243,6626,56,311,0,24,444,51,0,0
2020-08-27,7566,253,6915,56,318,0,24,462,55,0,0
2020-08-28,7830,279,7147,56,324,0,24,485,59,0,0
2020-08-29,8139,318,7410,57,330,0,24,497,62,0,0
2020-08-30,8339,340,7584,57,334,0,24,505,63,0,0
2020-08-31,8472,364,7691,57,335,0,25,508,70,0,0
2020-09-01,8653,383,7848,57,340,0,25,532,74,0,0
2020-09-02,8991,418,8149,57,342,0,25,552,75,0,0
2020-09-03,9202,435,8339,57,346,0,25,573,79,0,0
2020-09-04,9473,469,8575,57,347,0,25,583,81,0,0
2020-09-05,9693,493,8765,57,352,0,26,592,84,0,0
2020-09-06,9855,506,8911,58,354,0,26,597,85,0,0
2020-09-07,9959,517,9000,58,358,0,26,598,86,0,0
2020-09-08,10025,523,9058,58,360,0,26,599,88,0,0
2020-09-09,10123,533,9146,58,360,0,26,604,91,0,0
2020-09-10,10292,541,9304,58,363,0,26,610,94,0,0
2020-09-11,10459,562,9446,58,367,0,26,622,96,0,0
2020-09-12,10588,572,9559,58,373,0,26,635,97,0,0
2020-09-13,10700,587,9654,58,375,0,26,636,99,0,0
2020-09-14,10779,594,9723,58,378,0,26,638,99,0,0
2020-09-15,10844,599,9782,58,378,0,27,654,100,0,0
2020-09-16,10946,603,9879,58,378,0,28,667,103,0,0
2020-09-17,11105,623,10015,58,381,0,28,685,107,0,0
2020-09-18,11217,632,10119,57,381,0,28,700,120,0,0
2020-09-19,11326,639,10218,57,384,0,28,726,120,0,0
2020-09-20,11403,644,10289,57,385,0,28,730,120,0,0
2020-09-21,11459,651,10338,57,385,0,28,735,120,0,0
2020-09-22,11522,659,10393,57,385,0,28,749,120,0,0
2020-09-23,11689,672,10546,57,386,0,28,763,122,0,0
2020-09-24,11779,677,10627,57,388,0,30,779,124,0,0
2020-09-25,11891,691,10724,58,388,0,30,787,127,0,0
2020-09-26,12018,693,10848,59,388,0,30,802,131,0,0
2020-09-27,12116,700,10939,59,388,0,30,816,132,0,0
2020-09-28,12203,700,11026,59,388,0,30,819,132,0,0
2020-09-29,12290,703,11106,59,390,0,32,832,134,0,0
2020-09-30,12410,730,11197,59,391,0,33,847,136,0,0
2020-10-01,12515,736,11296,59,391,0,33,862,139,0,0
2020-10-02,12601,752,11365,59,391,0,34,880,142,0,0
2020-10-03,12734,795,11452,59,394,0,34,885,153,0,0
2020-10-04,12804,810,11505,59,396,0,34,889,159,0,0
2020-10-05,12854,820,11546,59,395,0,34,889,157,0,0
2020-10-06,12937,834,11613,59,397,0,34,889,160,0,0
2020-10-07,13045,852,11702,59,396,0,36,894,163,0,0
2020-10-08,13146,866,11788,59,397,0,36,900,164,0,0
2020-10-09,13300,911,11896,59,397,0,37,911,166,0,0
2020-10-10,13371,924,11954,59,397,0,37,929,168,0,0
2020-10-11,13472,948,12031,59,397,0,37,935,169,0,0
2020-10-12,13514,953,12068,59,397,0,37,939,169,0,0
2020-10-13,13575,974,12097,59,408,0,37,951,173,0,0
2020-10-14,13674,992,12176,59,409,0,38,961,183,0,0
2020-10-15,13764,1005,12249,59,411,0,40,978,184,0,0
2020-10-16,13853,1026,12317,59,411,0,40,988,185,0,0
2020-10-17,13949,1038,12398,60,411,0,42,1001,186,0,0
2020-10-18,14031,1052,12465,61,411,0,42,1005,187,0,0
2020-10-19,14068,1059,12494,60,411,0,44,1012,187,0,0
2020-10-20,14156,1083,12552,60,413,0,48,1025,189,0,0
2020-10-21,14233,1091,12617,60,417,0,48,1033,203,0,0
2020-10-22,14335,1120,12669,60,435,0,51,1045,206,0,0
2020-10-23,14464,1154,12734,60,464,0,52,1057,209,0,0
2020-10-24,14553,1170,12791,60,480,0,52,1065,212,0,0
2020-10-25,14672,1221,12839,61,497,0,54,1065,212,0,0
2020-10-26,14709,1230,12864,62,401,0,56,1067,212,79,17
2020-10-27,14773,1233,12913,62,403,0,58,1073,215,87,17
2020-10-28,14834,1238,12953,63,405,0,64,1081,213,94,17
2020-10-29,14911,1246,13013,64,404,0,70,1090,215,99,17
2020-10-30,15003,1259,13087,64,407,0,70,1097,216,99,17
2020-10-31,15071,1274,13133,64,408,0,76,1105,219,99,17
2020-11-01,15154,1300,13186,65,408,0,79,1107,219,99,17
2020-11-02,15231,1304,13250,66,410,0,84,1111,219,100,17
2020-11-03,15318,1311,13321,67,410,0,89,1124,219,103,17
2020-11-04,15473,1332,13445,67,414,0,94,1125,219,104,17
2020-11-05,15572,1356,13510,68,415,0,101,1138,219,105,17
2020-11-06,15691,1375,13596,69,421,0,107,1147,219,106,17
2020-11-07,15819,1386,13704,71,423,0,112,1157,220,106,17
2020-11-08,15947,1405,13810,71,425,0,113,1161,221,106,17
2020-11-09,16010,1409,13862,73,425,0,118,1160,221,106,17
2020-11-10,16088,1413,13924,71,430,0,127,1180,222,106,17
2020-11-11,16205,1436,14008,74,436,0,128,1185,222,106,17
2020-11-13,16412,1459,14172,77,443,0,138,1194,222,106,17
2020-11-14,16519,1471,14261,80,444,0,140,1209,222,106,17
2020-11-15,16519,1471,14261,80,444,0,140,1209,222,106,17
2020-11-16,16613,1379,14337,82,450,0,142,1210,222,106,17
2020-11-17,16665,1485,14373,82,452,0,150,1212,222,106,17
2020-11-18,16734,1487,14431,82,454,0,157,1221,223,106,17
2020-11-19,16841,1499,14506,86,463,0,164,1228,223,106,17
2020-11-20,16936,1512,14576,87,468,0,170,1234,224,106,17
2020-11-21,17098,1527,14698,91,480,0,179,1239,231,106,17
2020-11-22,17220,1541,14794,97,484,0,181,1255,233,106,17
2020-11-23,17333,1551,14873,100,495,0,191,1261,233,106,17
2020-11-24,17393,1557,14918,101,499,0,195,1268,233,106,17
2020-11-25,17501,1558,15011,102,504,0,203,1269,235,106,17
2020-11-26,17618,1569,15101,105,517,0,203,1286,237,106,17
2020-11-27,17708,1574,15170,110,521,0,210,1287,240,106,17
2020-11-28,17784,1591,15218,111,530,0,211,1287,240,106,17
2020-11-29,17840,1595,15264,112,533,0,213,1288,244,106,17
2020-11-30,17925,1599,15330,113,542,0,217,1290,244,106,18
2020-12-01,17968,1605,15362,113,547,0,217,1291,244,106,18
2020-12-02,18044,1606,15424,114,551,0,225,1304,244,106,18
2020-12-05,18423,1636,15695,119,594,0,254,1326,261,106,19
2020-12-06,18527,1640,15782,119,600,0,261,1328,262,106,19
2020-12-07,18608,1647,15840,120,612,0,264,1329,262,106,19
2020-12-08,18661,1652,15879,120,618,0,264,1329,262,106,22
2020-12-09,18741,1664,15924,121,633,0,271,1346,266,106,22
2020-12-10,18864,1688,16003,123,644,0,278,1354,268,106,22
2020-12-11,18951,1691,16059,125,662,0,286,1357,269,106,22
2020-12-12,19148,1708,16211,130,684,0,287,1361,271,106,22
2020-12-13,19235,1718,16266,134,692,0,297,1365,274,106,22
2020-12-14,19424,1733,16423,134,707,0,299,1367,274,106,22
2020-12-15,19480,1743,16458,134,714,0,303,1374,274,106,22
2020-12-16,19590,1748,16543,134,728,0,309,1382,278,106,22
2020-12-17,19731,1763,16656,135,735,0,314,314,280,106,22
2020-12-18,19859,1769,16760,136,746,0,320,1394,281,106,22
2020-12-19,20015,1790,16876,137,760,0,324,1405,281,106,22
2020-12-20,20217,1803,17054,137,771,0,324,1412,282,106,22
2020-12-21,20351,1816,17158,138,785,0,326,1413,282,106,22
2020-12-22,20417,1822,17209,138,792,0,328,1415,282,106,22
2020-12-23,20522,1835,17277,138,806,0,338,1426,285,106,22
2020-12-24,20650,1848,17356,139,838,0,341,1436,285,106,22
